Работает,"Есть в приложении, работает",,,
Работает с ошибкой,"Есть в приложении, не работает",,,
Нужно внести,Нужно добавить в приложение,,,
Внесено разработчиком,Внесено разработчиком,,,
Удалено,Удалено,,,
,,,,
№,Event,Описание,Event properties,Комментарии
Онбординг,,,,
Внесено разработчиком,onboarding_close,Пользователь нажал на крестик на онбординге,,Было onbording_close — исправлена опечатка в имени
Внесено разработчиком,onboarding_skip,Пользователь нажал Пропустить онбординг,,Было onbording_skip
Внесено разработчиком,onboarding_go,Пользователь нажал кнопку Поехали на онбординге,,Было onbording_go
Внесено разработчиком,tap_back,Пользователь нажал кнопку Назад,from,"from — шаг анкеты: welcome, type, determine, traits, goals, result"
Внесено разработчиком,onboarding_skin,Пользователь выбрал тип кожи,"type_skin
via","Было onbording_skin. Добавлено via: direct — выбрал сам, determine — прошёл ветку «Не знаю, определим вместе». Без него эти люди пропадали из воронки"
Внесено разработчиком,onboarding_skin_new,Пользователь выбрал реакцию кожи на новое,type_new,Было onbording_skin_new
Внесено разработчиком,onboarding_skin_eruption,Пользователь ответил на вопрос про высыпания,type_eruption,Было onbording_skin_eruption
Внесено разработчиком,onboarding_important_continue,"Пользователь выбрал, что важно для него, нажал кнопку Далее","type_important
goals_count",Было onbording_important_continue. Добавлено goals_count — целей можно выбрать до трёх
Внесено разработчиком,onboarding_no_goal,Пользователь выбрал Пока без конкретной цели,,Было onbording_no_goal
Внесено разработчиком,onboarding_done,Пользователь завершил анкету — кнопка Сохранить и сканировать,"skin_type
sensitive
acne_prone
goals_count",Было onbording_done. Age и Budget в приложении не спрашиваются вообще — их не читает ни один расчёт. Вместо них событие несёт реальные ответы анкеты
Внесено разработчиком,onboarding_skip_all,Пользователь нажал на кнопку Пропустить все,,"Было onbording_skip_all. Срабатывает на «Да, пропустить» в окне подтверждения"
Внесено разработчиком,onboarding_edit,Пользователь нажал на кнопку Изменить,,Было onbording_edit
Удалено,onbording_scan,Пользователь нажал на кнопку Сканировать на последней странице онбординга,,НЕ ОТПРАВЛЯЕТСЯ. На последнем шаге одна кнопка «Сохранить и сканировать» — два события на один тап дают шум. Этот тап считает onboarding_done
Рамки рутины (в таблице было в Онбординге),,,,
Внесено разработчиком,care_frames_pregnancy,Пользователь ответил про беременность,type_pregnancy,"Было onbording_pregnancy. Вопрос живёт не в онбординге, а в «Рамках рутины» внутри Разбора косметички"
Внесено разработчиком,care_frames_continue,Пользователь выбрал фильтры Рутины и нажал на кнопку Далее,"fragrance_free
steps_routine","Было onbording_routine_continue. Там же, в «Рамках рутины». Свойства сохранены"
Экран сканирования,,,,
Внесено разработчиком,scan_photo_tap,Пользователь нажал на значок сканирования продукта,,Центральная кнопка навбара
Внесено разработчиком,scan_photo_tips_open,Пользователь открыл подсказки для фото,,
Внесено разработчиком,scan_photo_tips_close,Пользователь скрыл подсказки для фото,,
Внесено разработчиком,scan_photo_take,Пользователь нажал Сделать фото,,
Внесено разработчиком,scan_photo_choose_gallery,Пользователь нажал Выбрать из галереи,,
Внесено разработчиком,quick_setup_continue,Пользователь нажал на продолжить в Быстрые настройки,"interface_language
your_region",
Внесено разработчиком,quick_setup_swipe,Пользователь скипнул Быстрые настройки,,"Лист закрыт любым способом, кроме кнопки «Продолжить»"
Удалено,show_scan_product_not_recognized,Появилось окно продукт не распознан,,НЕ ОТПРАВЛЯЕТСЯ. Показ любого окна отказа считает analysis_failed со свойством reason: для этого окна reason = productNotFound. Именное событие дублировало его один в один
Внесено разработчиком,scan_product_not_recognized_ok,Пользователь нажал на кнопку Хорошо окна Продукт не распознан,,
